symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
3,?,alfa-romero,gas,std,two,convertible,rwd,front,8860,16880,6410,4880,2548,dohc,four,130,mpfi,3.47,2.68,900,111,5000,21,27,12495€
3,?,alfa-romero,gas,std,two,convertible,rwd,front,8860,16880,6410,4880,2548,dohc,four,130,mpfi,3.47,2.68,900,111,5000,21,27,15278€
1,?,alfa-romero,gas,std,two,hatchback,rwd,front,9450,17120,6550,5240,2823,ohcv,six,152,mpfi,2.68,3.47,900,154,5000,19,26,15278€
2,164,audi,gas,std,four,sedan,fwd,front,9980,17660,6620,5430,2337,ohc,four,109,mpfi,3.19,3.40,1000,102,5500,24,30,12917€
2,164,audi,gas,std,four,sedan,4wd,front,9940,17660,6640,5430,2824,ohc,five,136,mpfi,3.19,3.40,800,115,5500,18,22,16157€
2,?,audi,gas,std,two,sedan,fwd,front,9980,17730,6630,5310,2507,ohc,five,136,mpfi,3.19,3.40,850,110,5500,19,25,14120€
1,158,audi,gas,std,four,sedan,fwd,front,10580,19270,7140,5570,2844,ohc,five,136,mpfi,3.19,3.40,850,110,5500,19,25,16398€
1,?,audi,gas,std,four,wagon,fwd,front,10580,19270,7140,5570,2954,ohc,five,136,mpfi,3.19,3.40,850,110,5500,19,25,17519€
1,158,audi,gas,turbo,four,sedan,fwd,front,10580,19270,7140,5590,3086,ohc,five,131,mpfi,3.13,3.40,830,140,5500,17,20,22106€
0,?,audi,gas,turbo,two,hatchback,4wd,front,9950,17820,6790,5200,3053,ohc,five,131,mpfi,3.13,3.40,700,160,5500,16,22,?
2,192,bmw,gas,std,two,sedan,rwd,front,10120,17680,6480,5430,2395,ohc,four,108,mpfi,3.50,2.80,880,101,5800,23,29,16430$
0,192,bmw,gas,std,four,sedan,rwd,front,10120,17680,6480,5430,2395,ohc,four,108,mpfi,3.50,2.80,880,101,5800,23,29,16925$
0,188,bmw,gas,std,two,sedan,rwd,front,10120,17680,6480,5430,2710,ohc,six,164,mpfi,3.31,3.19,900,121,4250,21,28,20970$
0,188,bmw,gas,std,four,sedan,rwd,front,10120,17680,6480,5430,2765,ohc,six,164,mpfi,3.31,3.19,900,121,4250,21,28,21105$
1,?,bmw,gas,std,four,sedan,rwd,front,10350,18900,6690,5570,3055,ohc,six,164,mpfi,3.31,3.19,900,121,4250,20,25,24565$
0,?,bmw,gas,std,four,sedan,rwd,front,10350,18900,6690,5570,3230,ohc,six,209,mpfi,3.62,3.39,800,182,5400,16,22,30760$
0,?,bmw,gas,std,two,sedan,rwd,front,10350,19380,6790,5370,3380,ohc,six,209,mpfi,3.62,3.39,800,182,5400,16,22,41315$
0,?,bmw,gas,std,four,sedan,rwd,front,11000,19700,7090,5630,3505,ohc,six,209,mpfi,3.62,3.39,800,182,5400,15,20,34148€
